participant,order,condition,ticker,report_source,p1_detected,p1_why,p1_not_prediction,q1_clear,q2_complete,q3_actionable,h5_anchor,h5_opened,h5_supports,open_comment
P01,A→B,C1,,,,,,,,,,,,
P01,A→B,C2,,,,,,,,,,,,
P01,A→B,C2-anchor,,,,,,,,,,,,
P01,A→B,C2-anchor,,,,,,,,,,,,
P01,A→B,C2-anchor,,,,,,,,,,,,
P02,B→A,C2,,,,,,,,,,,,
P02,B→A,C1,,,,,,,,,,,,
P02,B→A,C2-anchor,,,,,,,,,,,,
P02,B→A,C2-anchor,,,,,,,,,,,,
P02,B→A,C2-anchor,,,,,,,,,,,,
P03,A→B,C1,,,,,,,,,,,,
P03,A→B,C2,,,,,,,,,,,,
P03,A→B,C2-anchor,,,,,,,,,,,,
P03,A→B,C2-anchor,,,,,,,,,,,,
P03,A→B,C2-anchor,,,,,,,,,,,,
P04,B→A,C2,,,,,,,,,,,,
P04,B→A,C1,,,,,,,,,,,,
P04,B→A,C2-anchor,,,,,,,,,,,,
P04,B→A,C2-anchor,,,,,,,,,,,,
P04,B→A,C2-anchor,,,,,,,,,,,,
P05,A→B,C1,,,,,,,,,,,,
P05,A→B,C2,,,,,,,,,,,,
P05,A→B,C2-anchor,,,,,,,,,,,,
P05,A→B,C2-anchor,,,,,,,,,,,,
P05,A→B,C2-anchor,,,,,,,,,,,,
P06,B→A,C2,,,,,,,,,,,,
P06,B→A,C1,,,,,,,,,,,,
P06,B→A,C2-anchor,,,,,,,,,,,,
P06,B→A,C2-anchor,,,,,,,,,,,,
P06,B→A,C2-anchor,,,,,,,,,,,,
P07,A→B,C1,,,,,,,,,,,,
P07,A→B,C2,,,,,,,,,,,,
P07,A→B,C2-anchor,,,,,,,,,,,,
P07,A→B,C2-anchor,,,,,,,,,,,,
P07,A→B,C2-anchor,,,,,,,,,,,,
P08,B→A,C2,,,,,,,,,,,,
P08,B→A,C1,,,,,,,,,,,,
P08,B→A,C2-anchor,,,,,,,,,,,,
P08,B→A,C2-anchor,,,,,,,,,,,,
P08,B→A,C2-anchor,,,,,,,,,,,,
