participant,order,condition,stimulus,p1_detected,p1_why,p1_not_prediction,q1_clear,q2_complete,q3_actionable,q4_calibrated,q5_preference,open_comment
P01,A→B,A,S1,,,,,,,,,
P01,A→B,A,S2,,,,,,,,,
P01,A→B,A,S3,,,,,,,,,
P01,A→B,B,S4,,,,,,,,,
P01,A→B,B,S5,,,,,,,,,
P01,A→B,B,S6,,,,,,,,,
P02,B→A,B,S4,,,,,,,,,
P02,B→A,B,S5,,,,,,,,,
P02,B→A,B,S6,,,,,,,,,
P02,B→A,A,S1,,,,,,,,,
P02,B→A,A,S2,,,,,,,,,
P02,B→A,A,S3,,,,,,,,,
P03,A→B,A,S1,,,,,,,,,
P03,A→B,A,S2,,,,,,,,,
P03,A→B,A,S3,,,,,,,,,
P03,A→B,B,S4,,,,,,,,,
P03,A→B,B,S5,,,,,,,,,
P03,A→B,B,S6,,,,,,,,,
P04,B→A,B,S4,,,,,,,,,
P04,B→A,B,S5,,,,,,,,,
P04,B→A,B,S6,,,,,,,,,
P04,B→A,A,S1,,,,,,,,,
P04,B→A,A,S2,,,,,,,,,
P04,B→A,A,S3,,,,,,,,,
P05,A→B,A,S1,,,,,,,,,
P05,A→B,A,S2,,,,,,,,,
P05,A→B,A,S3,,,,,,,,,
P05,A→B,B,S4,,,,,,,,,
P05,A→B,B,S5,,,,,,,,,
P05,A→B,B,S6,,,,,,,,,
P06,B→A,B,S4,,,,,,,,,
P06,B→A,B,S5,,,,,,,,,
P06,B→A,B,S6,,,,,,,,,
P06,B→A,A,S1,,,,,,,,,
P06,B→A,A,S2,,,,,,,,,
P06,B→A,A,S3,,,,,,,,,
P07,A→B,A,S1,,,,,,,,,
P07,A→B,A,S2,,,,,,,,,
P07,A→B,A,S3,,,,,,,,,
P07,A→B,B,S4,,,,,,,,,
P07,A→B,B,S5,,,,,,,,,
P07,A→B,B,S6,,,,,,,,,
P08,B→A,B,S4,,,,,,,,,
P08,B→A,B,S5,,,,,,,,,
P08,B→A,B,S6,,,,,,,,,
P08,B→A,A,S1,,,,,,,,,
P08,B→A,A,S2,,,,,,,,,
P08,B→A,A,S3,,,,,,,,,
